"model_id","mean_per_class_error","logloss","rmse","mse"
"DeepLearning_grid__2_AutoML_20200129_192002_model_5",0.564680012610341,3.0520134890522,0.676916671456408,0.458216180095623
"DeepLearning_grid__3_AutoML_20200129_192002_model_1",0.565025395824576,1.57479929925232,0.653727126780887,0.427359156289194
"DeepLearning_grid__1_AutoML_20200129_192002_model_5",0.565211573490262,2.79245471499938,0.649544771983096,0.421908410810573
"DeepLearning_grid__3_AutoML_20200129_192002_model_12",0.567066519546028,1.49664941195458,0.649857007621018,0.422314130354144
"DeepLearning_grid__3_AutoML_20200129_192002_model_5",0.569959892111531,1.14788330989124,0.63501304142427,0.403241562778901
"DeepLearning_grid__1_AutoML_20200129_192002_model_6",0.570758722152165,1.24388588600398,0.65723012692058,0.431951439732042
"DeepLearning_grid__3_AutoML_20200129_192002_model_11",0.573031736023539,1.16914582646196,0.660488810769543,0.436245469151765
"DeepLearning_grid__1_AutoML_20200129_192002_model_9",0.574162813507076,1.32941357295229,0.633162662705853,0.400894957444766
"DeepLearning_grid__1_AutoML_20200129_192002_model_8",0.574750070057447,3.0847047119347,0.644075331176853,0.414833032230573
"DeepLearning_grid__2_AutoML_20200129_192002_model_10",0.575982905982906,1.29365423630783,0.65368032318762,0.427297964922671
"DeepLearning_grid__2_AutoML_20200129_192002_model_9",0.57839323245061,1.24000525358333,0.660148565424434,0.435796128431938
"DeepLearning_grid__3_AutoML_20200129_192002_model_17",0.579042314698052,1.22590195375102,0.637845697009646,0.406847133193721
"DeepLearning_grid__2_AutoML_20200129_192002_model_1",0.579932044276307,2.43319298921897,0.665713556859282,0.443174539786236
"DeepLearning_grid__1_AutoML_20200129_192002_model_2",0.582773749474569,1.16125892720643,0.628069193022459,0.394470911223882
"DeepLearning_grid__2_AutoML_20200129_192002_model_14",0.586273994675634,2.10553022555254,0.647043741405899,0.418665603292544
"DeepLearning_grid__3_AutoML_20200129_192002_model_18",0.587134650413339,1.16571593964704,0.658202184728019,0.433230115980737
"DeepLearning_grid__2_AutoML_20200129_192002_model_13",0.587980594087152,1.20637756315153,0.635148370599869,0.403413452675669
"DeepLearning_grid__3_AutoML_20200129_192002_model_16",0.594442693008267,3.22393477013642,0.682664846540537,0.466031292702215
"DeepLearning_grid__3_AutoML_20200129_192002_model_15",0.600696721311475,1.18484796590431,0.650145059258041,0.422688598077641
"DeepLearning_grid__2_AutoML_20200129_192002_model_12",0.601269440941572,1.15218292126933,0.637638387230265,0.406582712869613
"DeepLearning_grid__3_AutoML_20200129_192002_model_3",0.60534818551212,1.84773604044741,0.684755104817736,0.468889553573949
"DeepLearning_grid__3_AutoML_20200129_192002_model_2",0.615060424548129,1.34006135314864,0.644505104527229,0.415386829761654
"DeepLearning_grid__3_AutoML_20200129_192002_model_14",0.628453656998739,1.53845696958362,0.678491300572751,0.460350444952903
"DeepLearning_grid__3_AutoML_20200129_192002_model_10",0.633171325486899,1.42212096321787,0.638972740081855,0.408286162567714
"DeepLearning_grid__2_AutoML_20200129_192002_model_8",0.633713745271122,1.63476496596524,0.654172959765135,0.427942261287877
"DeepLearning_grid__1_AutoML_20200129_192002_model_4",0.633968404091355,1.43906412360195,0.638056619837959,0.407116250119041
"XGBoost_grid__1_AutoML_20200129_192002_model_7",0.636810109289617,1.08964610932828,0.637560686922033,0.406483629508495
"XGBoost_3_AutoML_20200129_192002",0.636970365699874,1.08714868421495,0.640944187737252,0.410809451794166
"GBM_grid__1_AutoML_20200129_192002_model_3",0.637769546027743,1.10463812296085,0.623391992009057,0.38861757570102
"XGBoost_grid__1_AutoML_20200129_192002_model_1",0.640051667367241,1.0945568110579,0.649248881163375,0.421524109691895
"GBM_1_AutoML_20200129_192002",0.640893582737845,1.18220441973071,0.624310660281547,0.389763800541181
"GBM_2_AutoML_20200129_192002",0.640996041754238,1.17124779615548,0.622756390210745,0.387825521548317
"GBM_4_AutoML_20200129_192002",0.642070898136472,1.18535094371839,0.624468011559586,0.389960297461183
"XGBoost_2_AutoML_20200129_192002",0.643177630657139,1.08805442815431,0.644776048444955,0.415736152648291
"XGBoost_grid__1_AutoML_20200129_192002_model_2",0.643756830601093,1.10543294873094,0.637316702585903,0.406172579394969
"XGBoost_grid__1_AutoML_20200129_192002_model_6",0.646651954602774,1.09288458914087,0.645532114420963,0.416711710748799
