"scientificName","decimalLongitude","decimalLatitude"
"Acanthastrea hemprichii",149.0352,-20.157
"Acanthastrea hemprichii",145.502,-16.3021
"Acanthastrea hemprichii",149.071,-20.1548
"Acanthastrea hemprichii",145.6868,-16.1763
"Acanthastrea hemprichii",145.8475,-16.4063
"Acanthastrea hemprichii",145.6718,-16.214
"Acanthastrea hemprichii",146.0147,-17.1581
"Acanthastrea hemprichii",149.0018,-20.2383
"Acanthastrea hemprichii",47.9956,-13.555
"Acanthastrea hemprichii",43.4927,-11.9432
"Acanthastrea hemprichii",146.563,-17.5797
"Acanthastrea hemprichii",145.9482,-16.6373
"Acanthastrea hemprichii",48.2222,-13.2536
"Acanthastrea hemprichii",48.1017,-13.5694
"Acanthastrea hemprichii",148.8127,-20.2522
"Acanthastrea hemprichii",145.7598,-16.1245
"Acanthastrea hemprichii",149.0745,-20.1613
"Acanthastrea hemprichii",146.007,-17.1622
"Acanthastrea hemprichii",145.462,-14.6504
"Acanthastrea hemprichii",48.5775,-12.855
"Acanthastrea hemprichii",148.6278,-20.0212
"Acanthastrea hemprichii",48.9714,-12.2706
"Acanthastrea hemprichii",145.6948,-16.375
"Acanthastrea hemprichii",153.3833,-27.5183
"Acanthastrea hemprichii",47.9533,-13.5069
"Acanthastrea hemprichii",145.2478,-14.6513
"Acanthastrea hemprichii",145.4003,-15.7138
"Acanthastrea hemprichii",145.4424,-15.9979
"Acanthastrea hemprichii",145.1873,-14.7368
"Acanthastrea hemprichii",148.8873,-20.1657
"Acanthastrea hemprichii",145.7657,-16.1138
"Acanthastrea hemprichii",145.3658,-15.7233
"Acanthastrea hemprichii",41.4,-1.8
"Acanthastrea hemprichii",48.9733,-12.2572
"Acanthastrea hemprichii",145.5633,-16.3933
"Acanthastrea hemprichii",48.1847,-13.3092
"Acanthastrea hemprichii",145.447,-14.6989
"Acanthastrea hemprichii",148.5138,-20.0811
"Acanthastrea hemprichii",148.9868,-20.3167
"Acanthastrea hemprichii",145.5667,-16.3795
"Acanthastrea hemprichii",145.1858,-14.7155
"Acanthastrea hemprichii",146.2918,-18.1492
"Acanthastrea hemprichii",125,-14.4
"Acanthastrea hemprichii",145.473,-14.6801
"Acanthastrea hemprichii",148.9343,-20.338
"Acanthastrea hemprichii",48.9575,-12.2661
"Acanthastrea hemprichii",146.046,-16.5513
"Acanthastrea hemprichii",145.6652,-16.267
"Acanthastrea hemprichii",145.492,-16.2968
"Acanthastrea hemprichii",48.02,-13.5297
"Acanthastrea hemprichii",145.447,-14.6988
"Acanthastrea hemprichii",47.25,-11.55
"Acanthastrea hemprichii",145.6432,-16.1093
"Acanthastrea hemprichii",40.92,-2.36
"Acanthastrea hemprichii",145.5667,-15.7833
"Acanthastrea hemprichii",48.1617,-13.3228
"Acanthastrea hemprichii",153.27,-27.4933
"Acanthastrea hemprichii",146.1372,-17.9233
"Acanthastrea hemprichii",48.5411,-12.9358
"Acanthastrea hemprichii",145.4672,-16.1043
"Acanthastrea hemprichii",149.3885,-20.9112
"Acanthastrea hemprichii",149.3908,-20.9118
"Acanthastrea hemprichii",150.9634,-23.2163
"Acanthastrea hemprichii",146.1438,-17.9573
"Acanthastrea hemprichii",145.9965,-16.7572
"Acanthastrea hemprichii",148.8489,-20.4251
"Acanthastrea hemprichii",145.5545,-15.7263
"Acanthastrea hemprichii",148.4697,-19.9943
