"scientificName","decimalLongitude","decimalLatitude","depth","symbio"
"Acropora hyacinthus",159.07333,-31.515,NA,"z"
"Acropora hyacinthus",159.07333,-31.515,NA,"z"
"Acropora hyacinthus",159.07166,-31.55166,NA,"z"
"Acropora hyacinthus",159.15,-31.46667,NA,"z"
"Acropora hyacinthus",159.149993896,-31.4699993134,NA,"z"
"Acropora hyacinthus",159.15,-31.466,NA,"z"
"Acropora hyacinthus",159.15,-31.46667,NA,"z"
"Acropora hyacinthus",159.066,-31.533,NA,"z"
"Acropora hyacinthus",132.74083,32.77167,NA,"z"
"Acropora hyacinthus",159.15,-31.46667,NA,"z"
"Acropora hyacinthus",159.083,-31.55,NA,"z"
"Acropora hyacinthus",159.04667,-31.52167,NA,"z"
"Acropora hyacinthus",159.1499939,-31.46999931,NA,"z"
"Acropora hyacinthus",21.116667,-55.533333,NA,"z"
"Acropora hyacinthus",135.7433,33.4803,NA,"z"
"Acropora hyacinthus",159.15,-31.46667,NA,"z"
"Acropora hyacinthus",159.149993896,-31.4699993134,NA,"z"
"Acropora hyacinthus",159.149993896,-31.4699993134,NA,"z"
"Acropora latistella",159.149993896,-31.4699993134,NA,"z"
"Acropora latistella",159.15,-31.46667,NA,"z"
"Acropora latistella",115.5169,-32.0327,NA,"z"
"Acropora latistella",115.5167,-32.0333,NA,"z"
"Acropora latistella",-130.1,-35.06667,NA,"z"
"Acropora latistella",159.1499939,-31.46999931,NA,"z"
"Acropora latistella",115.45,-32,NA,"z"
"Acropora latistella",159.15,-31.466,NA,"z"
"Acropora latistella",115.45,-32,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.07166,-31.55166,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.05167,-31.51833,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.07166,-31.55166,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.15,-31.466,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.1000061,-31.54999924,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.149993896,-31.4699993134,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.1,-31.55,NA,"z"
"Acropora lovelli",159.1499939,-31.46999931,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.05167,-31.51833,NA,"z"
"Acropora lovelli",159.15,-31.46667,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
"Acropora lovelli",159.100006104,-31.5499992371,NA,"z"
