valid.name,redlistCategory,corallite,branching,integration,budding,family
Australogyra zelli,Vulnerable,7.2,MB,5,intra,Merulinidae
Blastomussa wellsi,Near Threatened,18.9,NB,2,extra,Plerogyridae
Boninastrea boninensis,Data Deficient,6.5,NB,4,intra,Merulinidae
Cantharellus doederleini,Least Concern,53.3,NB,0,,Fungiidae
Cantharellus jebbi,Least Concern,20,LB,0,,Fungiidae
Cantharellus noumeae,Endangered,200,LB,0,,Fungiidae
Catalaphyllia jardinei,Vulnerable,21.3,NB,7,intra,Merulinidae
Caulastraea connata,Vulnerable,27.5,NB,2,intra,Merulinidae
Caulastraea curvata,Vulnerable,7.8,MB,2,intra,Merulinidae
Caulastraea echinulata,Vulnerable,9.4,NB,2,intra,Merulinidae
Caulastraea furcata,Least Concern,7.2,NB,2,intra,Merulinidae
Caulastraea tumida,Near Threatened,25,NB,2,intra,Merulinidae
Cladocora arbuscula,Least Concern,2.9,MB,2,extra,Scleractinia incertae sedis
Cladocora caespitosa,Endangered,4.5,NB,2,extra,Scleractinia incertae sedis
Coelastrea aspera,Least Concern,8.5,NB,4,intra,Merulinidae
Coelastrea palauensis,Near Threatened,18.8,NB,4,intra,Merulinidae
Coeloseris mayeri,Least Concern,8.1,NB,4,intra,Agariciidae
Colpophyllia natans,Least Concern,8.7,NB,6,intra,Faviidae
Coscinaraea crassa,Near Threatened,8.6,LB,3,both,Coscinaraeidae
Coscinaraea hahazimaensis,Vulnerable,3,NB,3,both,Coscinaraeidae
Coscinaraea marshae,Least Concern,5.3,LB,3,both,Coscinaraeidae
Coscinaraea mcneilli,Least Concern,5.8,LB,3,both,Coscinaraeidae
Coscinaraea monile,Least Concern,50,NB,3,both,Coscinaraeidae
Ctenactis albitentaculata,Near Threatened,260,NB,0,intra,Fungiidae
Ctenactis crassa,Least Concern,236,NB,0,intra,Fungiidae
Ctenactis echinata,Least Concern,284,NB,0,intra,Fungiidae
Cycloseris costulata,Least Concern,76,NB,0,intra,Fungiidae
Cycloseris curvata,Vulnerable,81,NB,0,intra,Fungiidae
Cycloseris cyclolites,Least Concern,35.7,NB,0,intra,Fungiidae
Cycloseris distorta,Least Concern,40,NB,0,intra,Fungiidae
Cycloseris explanulata,Least Concern,4.5,MB,0,intra,Fungiidae
Cycloseris fragilis,Least Concern,48,NB,0,intra,Fungiidae
Cycloseris mokai,Least Concern,7.5,NB,0,intra,Fungiidae
Cycloseris sinensis,Least Concern,54.8,NB,0,intra,Fungiidae
Cycloseris somervillei,Least Concern,135.2,NB,0,intra,Fungiidae
Cycloseris tenuis,Least Concern,46.7,NB,0,intra,Fungiidae
Cycloseris vaughani,Least Concern,58.5,NB,0,intra,Fungiidae
Cycloseris wellsi,Least Concern,34,MB,0,intra,Fungiidae
Cynarina lacrymalis,Near Threatened,85,NB,0,intra,Lobophylliidae
Cyphastrea agassizi,Vulnerable,2.2,NB,3,extra,Merulinidae
Cyphastrea chalcidicum,Least Concern,2.8,NB,3,extra,Merulinidae
Cyphastrea decadia,Least Concern,2.8,MB,3,extra,Merulinidae
Cyphastrea hexasepta,Vulnerable,1,NB,3,extra,Merulinidae
Cyphastrea japonica,Least Concern,1.9,NB,3,extra,Merulinidae
Cyphastrea microphthalma,Least Concern,2.7,NB,3,extra,Merulinidae
Cyphastrea ocellina,Vulnerable,2.5,NB,3,extra,Merulinidae
Cyphastrea serailia,Least Concern,2.4,NB,3,extra,Merulinidae
Danafungia horrida,Least Concern,204,NB,0,,Fungiidae
Danafungia scruposa,Least Concern,111,NB,0,,Fungiidae
Dendrogyra cylindrus,Vulnerable,4.2,MB,6,intra,Meandrinidae
Dichocoenia stokesii,Vulnerable,4.7,NB,3,intra,Meandrinidae
Diploastrea heliopora,Near Threatened,9,NB,4,extra,Diploastraeidae
Diploria labyrinthiformis,Least Concern,5.8,NB,6,intra,Faviidae
Dipsastraea albida,Near Threatened,8.3,NB,3,intra,Merulinidae
Dipsastraea amicorum,Least Concern,6,NB,3,intra,Merulinidae
Dipsastraea danai,Least Concern,9.2,NB,3,intra,Merulinidae
Dipsastraea favus,Least Concern,6.5,NB,3,intra,Merulinidae
Dipsastraea helianthoides,Near Threatened,9,NB,3,intra,Merulinidae
Dipsastraea lacuna,Near Threatened,9.8,NB,3,intra,Merulinidae
Dipsastraea laddi,Vulnerable,6.8,NB,3,intra,Merulinidae
Dipsastraea laxa,Near Threatened,5.8,NB,3,intra,Merulinidae
Dipsastraea lizardensis,Near Threatened,16.7,NB,3,intra,Merulinidae
