sp,new,extinct,source,notes,accepted,extinct.final,accepted.name,corallite,source1,shape,source2
Mussismilia hartti,Mussismilia hartii,NA,NA,NA,yes,extant,Mussismilia hartii,,,,
Mussismilia hispida,Mussismilia hispida,extant,pbdb,NA,yes,extant,,,,,
Mycetophyllia aliciae,Mycetophyllia aliciae,NA,pbdb,NA,yes,extant,,20,NMITA,platy or massive,NMITA
Mycetophyllia bullbrooki,Mycetophyllia bullbrooki,NA,pbdb,NA,yes,extinct,,20,NMITA,platy or massive,NMITA
Mycetophyllia danaana,Mycetophyllia danaana,extant,pbdb,NA,yes,extant,,20,NMITA,platy,NMITA
Mycetophyllia ferox,Mycetophyllia ferox,NA,pbdb,NA,yes,extant,,20,NMITA,platy,NMITA
Mycetophyllia lamarckiana,Mycetophyllia lamarckiana,NA,pbdb,unaccepted in worms, but ignore spelling error for now,yes,extant,,,,
Mycetophyllia reesi,Mycetophyllia reesi,extant,pbdb,NA,yes,extant,,,,,
Pavona panamensis,Pavona panamensis,extinct,worms,NA,yes,extinct,,,,,
Pavona pennyi,Pavona pennyi,NA,pbdb,NA,yes,extinct,,,,,
Pavona trinitatis,Pavona trinitatis,NA,pbdb,NA,yes,extinct,,,,,
Pironastrea anguillensis,Pironastrea anguillensis,extinct,pbdb,NA,yes,extinct,,,,,
Placocyathus alveolus,Placocyathus alveolus,extinct,worms,NA,yes,extinct,,,,,
Placocyathus barretti,Placocyathus barretti,extinct,worms,NA,yes,extinct,,,,,
Placocyathus costatus,Placocyathus costatus,extinct,worms,NA,yes,extinct,,,,,
Placocyathus trinitatis,Antillocyathus trinitatis,extinct,pbdb,NA,yes,extinct,,,,,
Placocyathus variabilis,Placocyathus variabilis,extinct,worms,NA,yes,extinct,,,,,
Pocillopora arnoldi,Pocillopora arnoldi,extinct,worms,NA,yes,extinct,,,,,
Pocillopora baracoaensis,Pocillopora baracoaensis,extinct,worms,NA,yes,extinct,,,,,
Pocillopora crassoramosa,Pocillopora crassoramosa,NA,pbdb,taxon inquirendum in worms,yes,extinct,,,,,
Pocillopora palmata,Pocillopora palmata,extinct,pbdb,unaccepted in worms. Last publication formally describing is Toth et al. (2015). Synonym in worms is Easter Pacific. Consider valid and extinct for now.,yes,extinct,,,,,
Pocillopora portoricensis,NA,NA,NA,only in NMITA, consider valid and extinct,yes,extinct,,,,
