"species","id","genus","family","min.lat","max.lat","med.lat","n","gc.dist","area","mean.size","mean.corallite.size","growth_Veron","depth.lower","depth.upper","IUCN","loc.abundance","clarity.pref","exposure.pref","range.size.Veron","ocean","growth","origin","growth.rate","symbio","clade","larval","strategy"
"Polycyathus andamanensis",1244,"Polycyathus","Caryophylliidae",7.237777,15,8.61888861656189,4,955.496265261248,28317.3035245053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.21910453655109,NA,"az",NA,"",""
"Polycyathus atlanticus",1245,"Polycyathus","Caryophylliidae",-15.9700002670288,-15.9700002670288,-15.9700002670288,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"atlantic",NA,1.02024094087438,NA,"az",NA,"",""
"Polycyathus chaishanensis",1568,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",NA,"",""
"Polycyathus difficilis",1246,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.09882887189038,NA,"az",NA,"",""
"Polycyathus fulvus",1247,"Polycyathus","Caryophylliidae",-22.37000084,-22.3700008392334,-22.3700008396167,2,9.50453877449036e-05,0,NA,74.4,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.03114576735382,NA,"az",NA,"",""
"Polycyathus furanaensis",1248,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,311.7,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.04750234054364,NA,"az",NA,"",""
"Polycyathus fuscomarginatus",1249,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,0.913244207930708,NA,"az",NA,"",""
"Polycyathus hodgsoni",1250,"Polycyathus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.06925895361582,NA,"az",NA,"",""
"Polycyathus hondaensis",1251,"Polycyathus","Caryophylliidae",4.00899982452393,7.73999977111816,5.874499798,4,430.506480442481,5.50476010946771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.1167215070289,NA,"az",NA,"",""
"Polycyathus isabela",1252,"Polycyathus","Caryophylliidae",-22.1295833587646,4.008999825,-9.04550027773804,4,2913.30682202598,1866.20099306722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific",NA,1.15450670566996,NA,"az",NA,"",""
