"sp","iucn","corallite","branching","budding","family","integration","max_depth","branching","range"
"Plerogyra sinuosa","Near Threatened",30,"NB","intra","Plerogyridae",7,40,"NB","17602.4436543652"
"Astrea devantieri","Near Threatened",4.5,"NB","extra","Merulinidae",3,20,"NB","3861.84610046756"
"Plesiastrea versipora","Least Concern",4.6,"NB","extra","Plesiastreidae",3,40,"NB","19793.1374904025"
"Pocillopora ankeli","Vulnerable",1,"MB","extra","Pocilloporidae",3,10,"MB","7194.29698270355"
"Pocillopora capitata","Least Concern",0.4,"HB","extra","Pocilloporidae",3,20,"HB","13709.0533080356"
"Pocillopora damicornis","Least Concern",1,"MB","extra","Pocilloporidae",3,55,"MB","19908.2634744496"
"Pocillopora verrucosa","Vulnerable",1.2,"HB","extra","Pocilloporidae",3,54,"MB","19574.897026465"
"Pocillopora effusa","Data Deficient",1.1,"HB","extra","Pocilloporidae",3,NA,"HB",NA
"Pocillopora elegans","Vulnerable",1,"MB","extra","Pocilloporidae",3,30,"MB","18471.6368395905"
"Pocillopora grandis","Near Threatened",1,"HB","extra","Pocilloporidae",3,20,"HB","19440.9898005198"
"Pocillopora fungiformis","Endangered",0.8,"LB","extra","Pocilloporidae",3,15,"LB",NA
"Pocillopora indiania","Vulnerable",1.2,"MB","extra","Pocilloporidae",3,20,"MB","3861.84610046756"
"Pocillopora inflata","Vulnerable",1,"MB","extra","Pocilloporidae",3,10,"MB","1682.39983352143"
"Pocillopora kelleheri","Least Concern",1.2,"HB","extra","Pocilloporidae",3,40,"HB","653.165611736152"
"Pocillopora ligulata","Least Concern",0.8,"MB","extra","Pocilloporidae",3,NA,"MB","18795.7582043777"
"Pocillopora meandrina","Least Concern",0.7,"MB","extra","Pocilloporidae",3,27,"MB","19123.1566148517"
"Pocillopora molokensis","Data Deficient",1.3,"MB","extra","Pocilloporidae",3,55,"MB","2557.76407368173"
"Pocillopora woodjonesi","Least Concern",1.1,"HB","extra","Pocilloporidae",3,26,"HB","18473.7417404588"
"Pocillopora zelli","Least Concern",1.2,"HB","extra","Pocilloporidae",3,15,"HB","19278.1363850916"
"Podabacia crustacea","Least Concern",3,"LB","intra","Fungiidae",5,50,"LB","18478.189232551"
"Podabacia motuporensis","Near Threatened",2.8,"LB","intra","Fungiidae",5,20,"LB","6978.14714084379"
"Podabacia sinai","Data Deficient",2.7,"MB","intra","Fungiidae",5,20,"MB","0"
"Porites annae","Near Threatened",1.1,"LB","extra","Poritidae",4,30,"LB","18007.1527165001"
"Porites aranetai","Vulnerable",1,"LB","extra","Poritidae",4,20,"LB","4916.62574007564"
"Porites arnaudi","Least Concern",1.1,"MB","extra","Poritidae",4,37,"MB",NA
"Porites astreoides","Least Concern",1.6,"NB","extra","Poritidae",4,70,"NB","8711.71516273236"
"Porites attenuata","Vulnerable",2.1,"MB","extra","Poritidae",4,20,"MB","12369.1794944631"
"Porites australiensis","Least Concern",1.4,"NB","extra","Poritidae",4,50,"NB","18519.7158999489"
"Porites lobata","Near Threatened",1.1,"NB","extra","Poritidae",4,67,"NB","19764.8841321034"
"Porites branneri","Near Threatened",1.8,"LB","extra","Poritidae",4,3,NA,"8219.78472836468"
"Porites brighami","Least Concern",1.5,"NB","extra","Poritidae",4,NA,"NB","4041.37307635017"
"Porites cocosensis","Vulnerable",1.5,"LB","extra","Poritidae",4,NA,"LB","0"
"Porites colonensis","Data Deficient",2,"MB","extra","Poritidae",4,25,"MB","2375.8981191537"
"Porites columnaris","Least Concern",1.5,"MB","extra","Poritidae",4,15,"MB","3861.84610046756"
"Porites compressa","Least Concern",1.6,"LB","extra","Poritidae",4,30,"LB","17583.5365721105"
"Porites cumulatus","Vulnerable",1.1,"MB","extra","Poritidae",4,20,"MB","9115.60350895526"
"Porites cylindrica","Near Threatened",1.1,"LB","extra","Poritidae",4,20,"LB","17601.2969483236"
"Porites deformis","Near Threatened",1.6,"LB","extra","Poritidae",4,30,"LB","10501.0022700961"
"Porites densa","Near Threatened",1.3,"NB","extra","Poritidae",4,20,"NB","7486.29935676786"
"Porites desilveri","Endangered",1,"LB","extra","Poritidae",4,NA,"LB",NA
"Porites divaricata","Least Concern",1.6,"HB","extra","Poritidae",4,47,"MB","3857.80244719849"
"Porites echinulata","Near Threatened",2.1,"MB","extra","Poritidae",4,50,"MB","4661.23110557695"
"Porites eridani","Endangered",0.8,"LB","extra","Poritidae",4,20,"LB","4874.91606187193"
"Porites evermanni","Data Deficient",1,"MB","extra","Poritidae",4,30,"MB","17437.59894991"
"Porites flavus","Data Deficient",0.7,"MB","extra","Poritidae",4,20,"MB","9.50453877449036e-05"
"Porites furcata","Least Concern",1.9,"HB","extra","Poritidae",4,50,"MB","4237.21007051906"
"Porites harrisoni","Near Threatened",1.1,"MB","extra","Poritidae",4,15,"MB","3861.84610046756"
"Porites heronensis","Least Concern",1.5,"MB","extra","Poritidae",4,20,"MB","4398.35996767158"
"Porites horizontalata","Vulnerable",1.7,"LB","extra","Poritidae",4,20,"LB","9577.04116155997"
"Porites rus","Least Concern",0.8,"LB","extra","Poritidae",4,20,"LB","18505.7937382562"
"Porites latistellata","Least Concern",1.4,"LB","extra","Poritidae",4,20,"LB","18505.7937382562"
"Porites lichen","Least Concern",1.4,"MB","extra","Poritidae",4,40,"MB","18782.7605698749"
"Porites lutea","Least Concern",1.3,"NB","extra","Poritidae",4,70,"NB","19878.3801143839"
"Porites mayeri","Least Concern",1.6,"NB","extra","Poritidae",4,20,"NB","11138.3278711196"
"Porites monticulosa","Least Concern",1.2,"LB","extra","Poritidae",4,20,"LB","16320.8092688847"
"Porites murrayensis","Near Threatened",1,"NB","extra","Poritidae",4,5,"NB","10813.8868702417"
"Porites myrmidonensis","Least Concern",1.4,"NB","extra","Poritidae",4,55,"NB","410.215733379453"
"Porites napopora","Vulnerable",0.9,"LB","extra","Poritidae",4,15,"LB","0"
"Porites negrosensis","Near Threatened",1.7,"MB","extra","Poritidae",4,15,"MB","5625.48090878667"
"Porites nigrescens","Vulnerable",1.6,"MB","extra","Poritidae",4,20,"MB","15268.7374519772"
"Porites nodifera","Least Concern",1.6,"MB","extra","Poritidae",4,15,"MB","15125.9650010646"
"Porites okinawensis","Vulnerable",1.3,"NB","extra","Poritidae",4,NA,"NB",NA
"Porites ornata","Endangered",1.5,"MB","extra","Poritidae",4,15,"MB",NA
"Porites panamensis","Least Concern",0.9,"NB","extra","Poritidae",4,36,"NB","16657.7622394971"
"Porites porites","Least Concern",2.5,"HB","extra","Poritidae",4,35,"MB","18148.8139432358"
"Porites profundus","Least Concern",0.9,"MB","extra","Poritidae",4,15,"MB","13284.8856626862"
"Porites pukoensis","Critically Endangered",1.7,"MB","extra","Poritidae",4,NA,"MB","4141.7786724486"
"Porites rugosus","Vulnerable",0.9,"MB","extra","Poritidae",4,15,"MB","4036.36780120169"
"Porites solida","Least Concern",1.6,"NB","extra","Poritidae",4,20,"NB","19391.2873330099"
"Porites somaliensis","Near Threatened",2.3,"NB","extra","Poritidae",4,20,"NB","5480.19729206772"
"Porites stephensoni","Near Threatened",1.3,"NB","extra","Poritidae",4,5,"NB","6490.58803710414"
"Porites vaughani","Least Concern",0.8,"LB","extra","Poritidae",4,40,"LB","16620.2074558835"
"Goniopora paliformis","Vulnerable",2.7,"NB","extra","Poritidae",4,NA,"NB","3861.84610046756"
"Psammocora digitata","Near Threatened",2.3,"MB","intra","Psammocoridae",4,20,"MB","13563.8050893192"
"Cycloseris explanulata","Least Concern",4.5,"MB","intra","Fungiidae",0,35,"MB","16822.1596293414"
"Psammocora haimiana","Least Concern",4.6,"NB","intra","Psammocoridae",4,50,"NB","19627.788188653"
"Psammocora nierstraszi","Near Threatened",2.3,"NB","intra","Psammocoridae",4,40,"NB","18727.9686967018"
"Psammocora contigua","Near Threatened",1.5,"MB","intra","Psammocoridae",4,35,"MB","19860.9470737691"
"Psammocora profundacella","Least Concern",2.5,"NB","intra","Psammocoridae",4,50,"LB","18473.3626739315"
"Psammocora stellata","Vulnerable",2.5,"NB","intra","Psammocoridae",4,70,"NB","18409.3741574384"
"Herpolitha limax","Least Concern",370,"NB","intra","Fungiidae",5,40,"NB","19124.2722784356"
"Sandalolitha robusta","Least Concern",4.6,"NB","intra","Fungiidae",5,21,"NB","17602.4436543652"
"Merulina cylindrica","Least Concern",3.8,"MB","intra","Merulinidae",6,25,"MB",NA
"Schizoculina africana","Data Deficient",9.1,"HB","extra","Oculinidae",3,35,"HB",NA
"Schizoculina fissipara","Data Deficient",3.4,"LB","extra","Oculinidae",3,35,"LB",NA
"Homophyllia australis","Least Concern",75,"NB","intra","Lobophylliidae",4,40,"NB","19994.1739961707"
"Scolymia cubensis","Least Concern",56.5,"NB","both","Faviidae",0,92,"NB","7790.71580544304"
"Lobophyllia vitiensis","Near Threatened",70,"NB","intra","Lobophylliidae",2,50,"NB","18477.3346515492"
"Seriatopora aculeata","Vulnerable",0.5,"MB","extra","Pocilloporidae",3,40,"MB","13820.4099578994"
"Seriatopora caliendrum","Near Threatened",1.1,"MB","extra","Pocilloporidae",3,40,"MB","15843.1041725902"
"Seriatopora guttata","Least Concern",0.6,"MB","extra","Pocilloporidae",3,40,"MB","11630.735762867"
"Seriatopora hystrix","Least Concern",0.8,"MB","extra","Pocilloporidae",3,55,"MB","16973.7635695498"
"Seriatopora stellata","Near Threatened",0.6,"MB","extra","Pocilloporidae",3,20,"MB","15222.5705546902"
"Siderastrea siderea","Critically Endangered",4.5,"NB","extra","Siderastreidae",4,70,"NB","15034.1932350525"
"Siderastrea radians","Least Concern",3,"NB","extra","Siderastreidae",4,33,"NB","18356.3653924994"
"Siderastrea savignyana","Least Concern",3.8,"NB","extra","Siderastreidae",4,10,"NB","6378.1315320821"
"Siderastrea stellata","Data Deficient",3,"NB","extra","Siderastreidae",4,NA,"NB","2191.87347172118"
"Simplastrea vesicularis","Data Deficient",4.2,"LB","extra","Euphylliidae",3,NA,"LB",NA
"Solenastrea bournoni","Least Concern",20.5,"NB","extra","Scleractinia incertae sedis",3,30,"NB","3653.56766881315"
"Solenastrea hyades","Least Concern",4.2,"NB","extra","Scleractinia incertae sedis",3,40,"NB","2750.59345919389"
"Stephanocoenia intersepta","Least Concern",2.7,"NB","extra","Astrocoeniidae",3,100,"NB","18155.7388796069"
"Stylaraea punctata","Data Deficient",1.2,"LB","extra","Poritidae",3,NA,"LB","13270.2345176695"
"Stylocoeniella armata","Least Concern",2.3,"LB","extra","Astrocoeniidae",3,50,"LB","17623.7262620149"
"Stylocoeniella cocosensis","Vulnerable",0.7,"LB","extra","Astrocoeniidae",3,10,"LB","402.973944938875"
"Stylocoeniella guentheri","Least Concern",1.1,"LB","extra","Astrocoeniidae",3,62,"LB","18714.6328242401"
"Stylophora danae","Least Concern",1.1,"MB","extra","Pocilloporidae",3,40,"MB","11824.1137825447"
"Stylophora kuehlmanni","Least Concern",0.7,"MB","extra","Pocilloporidae",3,70,"MB","91.3614925229034"
"Stylophora madagascarensis","Endangered",0.8,"MB","extra","Pocilloporidae",3,20,"MB","3861.84610046756"
"Stylophora mamillata","Least Concern",1,"LB","extra","Pocilloporidae",3,40,"LB","3861.84610046756"
"Stylophora pistillata","Near Threatened",1.4,"MB","extra","Pocilloporidae",3,65,"MB","17631.5464308396"
"Stylophora subseriata","Least Concern",0.7,"MB","extra","Pocilloporidae",3,30,"MB","11733.2571147944"
"Stylophora wellsi","Near Threatened",0.7,"MB","extra","Pocilloporidae",3,10,"MB","3861.84610046756"
"Lobophyllia agaricia","Least Concern",33.5,"NB","intra","Lobophylliidae",2,40,"NB","13761.4472152805"
"Lobophyllia erythraea","Least Concern",17.5,"NB","intra","Lobophylliidae",2,45,"NB","3861.84610046756"
"Lobophyllia hassi","Vulnerable",20,"NB","intra","Lobophylliidae",2,20,"NB","6392.30204533357"
"Lobophyllia radians","Least Concern",35,"NB","intra","Lobophylliidae",2,40,"NB","14003.8125640233"
"Lobophyllia recta","Least Concern",9,"NB","intra","Lobophylliidae",2,40,"NB","17590.1657593762"
"Lobophyllia valenciennesii","Least Concern",35,"LB","intra","Lobophylliidae",2,40,"LB","14206.2531790195"
"Trachyphyllia geoffroyi","Near Threatened",4,"NB","intra","Merulinidae",7,40,"NB","15954.8580079003"
"Turbinaria bifrons","Vulnerable",1.6,"MB","extra","Dendrophylliidae",3,25,"MB","7462.87825387088"
"Turbinaria conspicua","Least Concern",1.6,"MB","extra","Dendrophylliidae",3,20,"MB","2519.77085726012"
"Turbinaria frondens","Least Concern",1.1,"MB","extra","Dendrophylliidae",3,20,"MB","17508.6595074165"
"Turbinaria heronensis","Vulnerable",4.4,"MB","extra","Dendrophylliidae",3,15,"MB","1860.57256594934"
"Turbinaria irregularis","Least Concern",2.1,"MB","extra","Dendrophylliidae",3,40,"MB","14088.3467841936"
"Turbinaria mesenterina","Vulnerable",3.5,"MB","extra","Dendrophylliidae",3,20,"MB","19955.6707709723"
"Turbinaria patula","Vulnerable",3.5,"MB","extra","Dendrophylliidae",3,20,"MB","9134.9755974043"
"Duncanopsammia peltata","Vulnerable",4.8,"MB","extra","Dendrophylliidae",1,40,"MB",NA
"Turbinaria radicalis","Near Threatened",2.5,"LB","extra","Dendrophylliidae",3,25,"LB","6929.85750770126"
"Turbinaria reniformis","Vulnerable",4.2,"MB","extra","Dendrophylliidae",3,60,"MB","17631.5464308396"
"Turbinaria stellulata","Vulnerable",3.3,"NB","extra","Dendrophylliidae",3,15,"NB","17590.1657593762"
"Zoopilus echinatus","Least Concern",20,"NB","intra","Fungiidae",5,20,"NB","7066.16384701793"
"Montipora verrilli","Data Deficient",0.8,"LB","extra","Acroporidae",3,40,"LB","18768.6990891818"
