"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
54168256,132969,"Acropora listeri","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","listeri",NA,NA,NA,"(Brook, 1893)","Vulnerable","A4ce",3.1,"Decreasing","Global","Acropora listeri"
54168861,132975,"Millepora tenera","ANIMALIA","CNIDARIA","MILLEPORINA","HYDROZOA","MILLEPORIDAE","Millepora","tenera",NA,NA,NA,"Boschma 1949","Least Concern","",3.1,"Unknown","Global","Millepora tenera"
54169590,132976,"Acropora loripes","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","loripes",NA,NA,NA,"(Brook, 1892)","Near Threatened","",3.1,"Decreasing","Global","Acropora loripes"
54170240,132978,"Montastrea magnistellata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Montastrea","magnistellata",NA,NA,NA,"Chevalier, 1971","Near Threatened","",3.1,"Decreasing","Global","Favites magnistellata"
54170883,132980,"Leptoria phrygia","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Leptoria","phrygia",NA,NA,NA,"(Ellis &amp; Solander, 1786)","Near Threatened","",3.1,"Decreasing","Global","Leptoria phrygia"
54171607,132983,"Leptastrea bottae","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Leptastrea","bottae",NA,NA,NA,"(Milne Edwards &amp; Haime, 1849)","Near Threatened","",3.1,"Decreasing","Global","Leptastrea bottae"
54172227,132986,"Fungia repanda","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FUNGIIDAE","Fungia","repanda",NA,NA,NA,"Dana, 1846","Least Concern","",3.1,"Unknown","Global","Lithophyllon repanda"
54172878,132992,"Acropora humilis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","humilis",NA,NA,NA,"(Dana, 1846)","Near Threatened","",3.1,"Decreasing","Global","Acropora humilis"
54173555,132997,"Montastrea valenciennesi","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Montastrea","valenciennesi",NA,NA,NA,"(Milne Edwards &amp; Haime, 1848)","Near Threatened","",3.1,"Decreasing","Global","Favites valenciennesii"
54174146,132998,"Acropora samoensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","samoensis",NA,NA,NA,"(Brook, 1891)","Least Concern","",3.1,"Decreasing","Global","Acropora samoensis"
54174814,133000,"Acropora ocellata","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","ocellata",NA,NA,NA,"(Klunzinger, 1879)","Data Deficient","",3.1,"Decreasing","Global","Acropora humilis"
54175228,133001,"Goniopora pandoraensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Goniopora","pandoraensis",NA,NA,NA,"Veron &amp; Pichon, 1982","Least Concern","",3.1,"Unknown","Global","Goniopora pandoraensis"
54175713,133008,"Fungia spinifer","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FUNGIIDAE","Fungia","spinifer",NA,NA,NA,"Claereboudt &amp; Hoeksema, 1987","Least Concern","",3.1,"Unknown","Global","Lithophyllon spinifer"
54176059,133013,"Acropora grandis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","grandis",NA,NA,NA,"(Brook, 1892)","Least Concern","",3.1,"Decreasing","Global","Acropora grandis"
54176681,133016,"Porites vaughani","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","vaughani",NA,NA,NA,"Crossland, 1952","Least Concern","",3.1,"Unknown","Global","Porites vaughani"
54177216,133020,"Acropora tenuis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","tenuis",NA,NA,NA,"(Dana, 1846)","Near Threatened","",3.1,"Decreasing","Global","Acropora tenuis"
54177921,133021,"Acropora microphthalma","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","microphthalma",NA,NA,NA,"(Verrill, 1859)","Least Concern","",3.1,"Decreasing","Global","Acropora microphthalma"
54178603,133023,"Porites lichen","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","lichen",NA,NA,NA,"Dana, 1846","Least Concern","",3.1,"Unknown","Global","Porites lichen"
