"valid_name","bottom","top","globally.extinct","regionally.extinct","corallite","shape","max_depth","env","branching","range","prop_range"
"Pavona trinitatis",14.1,5.3,"extinct","extinct","3","platy",NA,NA,"LB",NA,NA
"Pironastrea anguillensis",22,3.5,"extinct","extinct","5.5","massive","30","shallow","NB",NA,NA
"Placocyathus alveolus",7.5,1.6,"extinct","extinct","> 15","massive","50","deep","NB",5.90583682060242e-05,4.74375102992216e-09
"Placocyathus barretti",5.3,1.6,"extinct","extinct","> 15","massive","30","shallow","NB",832.355423375263,0.0668573652953543
"Placocyathus costatus",8.3,1.6,"extinct","extinct","> 15","massive","50","deep","NB",782.837579402798,0.0628799387175583
"Placocyathus variabilis",17.3,1.1,"extinct","extinct","> 15","free living ","30","shallow","NB",1286.28017026147,0.103318006707539
"Pocillopora arnoldi",22,2.5,"extinct","extinct","1.2","branching","30","shallow","HB",NA,NA
"Pocillopora baracoaensis",7.5,1,"extinct","extinct","< 0.8","branching","30","shallow","HB",612.720896653295,0.0492156399312335
"Pocillopora crassoramosa",28.1,1.6,"extinct","extinct","1","branching","30","shallow","HB",1112.50028474706,0.0893594681307037
"Pocillopora palmata",0.5,0.1,"extinct","extinct","1","branching",NA,NA,"HB",1507.91371608838,0.121120299476855
"Pocillopora portoricensis",14.1,13.1,"extinct","extinct","< 1.5","branching",NA,NA,"HB",NA,NA
"Porites anguillensis",22,16.2,"extinct","extinct","2","platy",NA,NA,"LB",NA,NA
"Porites astreoides",3.5,0,"extant","extant","1.4","mound","70","shallow","NB",1923.90337075713,0.154533876802389
"Porites baracoaensis",22,1,"extinct","extinct",">1.2","intermediate branched","30","shallow","MB",1144.5290059423,0.0919321142056336
"Porites branneri",3.5,0,"extant","extant","1.8","encrusting","3","deep","LB",90.152994815157,0.00724136773493422
"Porites chipolanum",18,15,"extinct","extinct","1.8","encrusting",NA,NA,"LB",NA,NA
"Porites colonensis",1.9,0,"extant","extant","2","platy","25","deep","LB",74.8132066669894,0.0060092284456669
"Porites convivatoris",7.5,4.5,"extinct","extinct","1.4","encrusting","30","shallow","LB",0,0
"Porites divaricata",3.5,0,"extant","extant","1.6","branching_closed","47","shallow","HB",1672.43882696795,0.13433546589426
"Porites furcata",3.5,0,"extant","extant","1.8","intermediate branched","50","shallow","MB",1889.05363426554,0.151734638042561
"Porites macdonaldi",22,3.7,"extinct","extinct","1.6","platy","30","shallow","LB",1050.88854807963,0.084410622638531
"Porites porites",3.5,0,"extant","extant","2","branching_closed","35","shallow","HB",1889.05363426554,0.151734638042561
"Porites portoricensis",28.1,1.5,"extinct","extinct","1.8","columnar","30","shallow","MB",1064.90238013648,0.085536257028241
"Porites trinitatis",10.5,5.3,"extinct","extinct","1.8","platy",NA,NA,"LB",NA,NA
"Porites waylandi",28.1,1.5,"extinct","extinct","1.6","mound","30","shallow","NB",1064.3820989366,0.0854944664310281
"Psammocora trinitatis",17.3,5.2,"extinct","extinct","3","massive","30","shallow","NB",NA,NA
"Pseudodiploria clivosa",8.3,0,"extant","extant","5","massive","30","shallow","NB",1672.43882696795,0.13433546589426
"Pseudodiploria strigosa",5.3,0,"extant","extant","10","massive","30","shallow","NB",1896.62392639341,0.152342707350421
"Scolymia cubensis",8.3,0,"extant","extant","> 20","massive","92","shallow","NB",672.923492874086,0.054051298898818
"Scolymia lacera",3.4,0,"extant","extant","> 20","massive","80","shallow","NB",1150.68246327513,0.0924263789550143
"Siderastrea conferta",22,16.2,"extinct","extinct","8","massive",NA,NA,"NB",NA,NA
"Siderastrea mendenhalli",17.3,3.4,"extinct","extinct","10","massive","30","shallow","NB",14.5263997989606,0.00116680541810756
"Siderastrea pliocenica",3.5,1,"extinct","extinct","5","massive",NA,NA,"NB",113.055552011903,0.00908097205503521
"Siderastrea radians",3.5,0,"extinct","extant","3.5","massive","33","shallow","NB",6885.0776302969,0.553030757400497
"Siderastrea siderea",17.3,0,"extant","extant","5","massive","8.5","shallow","NB",1926.37384529453,0.154732312967951
"Siderastrea silecensis",23.7,1.6,"extinct","extinct","6.5","massive","30","shallow","NB",NA,NA
"Solenastrea bournoni",28.1,0,"extant","extant","2.5","massive","30","shallow","NB",1546.70793991072,0.124236371674621
"Solenastrea hyades",23.7,0,"extant","extant","10","massive","40","shallow","NB",867.370743507094,0.0696699042459561
"Stephanocoenia duncani",28.1,1.5,"extinct","extinct","2","massive","30","shallow","NB",1062.50562623939,0.0853437423328108
"Stephanocoenia intersepta",3.5,0,"extant","extant","> 2","massive","95","deep","NB",11557.5034524059,0.928334469290108
"Stephanocoenia spongiformis",14.1,1.5,"extinct","extinct","2","massive","30","shallow","NB",1176.07472362358,0.0944659639425272
"Stylophora affinis",22,1.4,"extinct","extinct","1.2","branching","30","shallow","HB",7840.15585109444,0.629745597840371
"Stylophora affinis",22,1.4,"extinct","extinct","1","branching","30","shallow","HB",7840.15585109444,0.629745597840371
"Stylophora affinis",22,1.4,"extinct","extinct","< 1.5","branching","30","shallow","HB",7840.15585109444,0.629745597840371
"Stylophora canalis",23.7,15,"extinct","extinct","> 1","branching",NA,NA,"HB",NA,NA
"Stylophora granulata",28.1,1,"extinct","extinct","1","branching","30","shallow","HB",1299.81455219796,0.104405130178791
"Stylophora imperatoris",22,2.5,"extinct","extinct","> 1","branching","30","shallow","HB",NA,NA
"Stylophora minor",28.1,1.6,"extinct","extinct","0.8","branching","30","shallow","HB",1275.88340609772,0.102482906412563
"Stylophora monticulosa",17.3,1.6,"extinct","extinct","> 1","branching","30","shallow","HB",1051.84898127707,0.0844877676072789
"Stylophora undata",18,13.1,"extinct","extinct","> 1","massive or encrusting ",NA,NA,"LB",NA,NA
"Thysanus corbicula",18,1.6,"extinct","extinct","15","massive","30","shallow","NB",31.0556675421892,0.00249448739210429
"Thysanus excentricus",7.5,1,"extinct","extinct","15","massive","30","shallow","NB",804.582107549732,0.0646265265581222
"Thysanus navicula",7.5,1.6,"extinct","extinct","15","massive","50","deep","NB",1048.40072699289,0.0842107931444056
"Trachyphyllia bilobata",23.7,1.6,"extant","extinct","> 15","massive","30","shallow","NB",810.821617631714,0.0651277033308085
"Trachyphyllia sawkinsi",22,1.5,"extinct","extinct","45","solitary, freeliving","50","deep","NB",76.4424433377458,0.00614009378058314
