"fname","youden.train","AUC.train","cutoff.train","youden.test","AUC.test","cutoff.test","cutoff"
"GBM_grid__1_AutoML_20200310_084744_model_4",0.568654434250764,0.784327217125382,0.28,0.146615890600658,0.573307945300329,0.19,0.235
"GBM_grid__1_AutoML_20200310_084744_model_4",0.568654434250764,0.784327217125382,0.28,0.146615890600658,0.573307945300329,0.2,0.24
"GBM_grid__1_AutoML_20200310_084744_model_4",0.568654434250764,0.784327217125382,0.28,0.146615890600658,0.573307945300329,0.21,0.245
"GBM_grid__1_AutoML_20200310_084744_model_4",0.568654434250764,0.784327217125382,0.28,0.146615890600658,0.573307945300329,0.22,0.25
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.31,0.145057988575385,0.572528994287693,0.24,0.275
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.31,0.145057988575385,0.572528994287693,0.25,0.28
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.32,0.145057988575385,0.572528994287693,0.24,0.28
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.32,0.145057988575385,0.572528994287693,0.25,0.285
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.33,0.145057988575385,0.572528994287693,0.24,0.285
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.33,0.145057988575385,0.572528994287693,0.25,0.29
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.34,0.145057988575385,0.572528994287693,0.24,0.29
"XGBoost_grid__1_AutoML_20200310_084744_model_7",0.622717343818261,0.811358671909131,0.34,0.145057988575385,0.572528994287693,0.25,0.295
"GBM_grid__1_AutoML_20200310_084744_model_1",0.38302752293578,0.69151376146789,0.3,0.144019387225203,0.572009693612602,0.3,0.3
"GBM_grid__1_AutoML_20200310_084744_model_2",0.357470511140236,0.678735255570118,0.3,0.125151462696901,0.562575731348451,0.3,0.3
"DeepLearning_grid__3_AutoML_20200310_084744_model_6",0.211926605504587,0.605963302752293,0.4,0.121689458196296,0.560844729098148,0.46,0.43
"DeepLearning_grid__3_AutoML_20200310_084744_model_6",0.211926605504587,0.605963302752293,0.41,0.121689458196296,0.560844729098148,0.46,0.435
