assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
3578932,133120,Acropora latistella,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,latistella,,,,"(Brook, 1891)",Least Concern,,3.1,Decreasing,Global
3580319,133121,Siderastrea glynni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,SIDERASTREIDAE,Siderastrea,glynni,,,,"Budd &amp; Guzman, 1994",Critically Endangered,"B2ab(iii,iv,v)",3.1,Stable,Global
3580548,133050,Acropora vermiculata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,vermiculata,,,,"Nemenzo, 1967",Data Deficient,,3.1,Decreasing,Global
3580943,133122,Acropora plantaginea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,plantaginea,,,,"(Lamarck, 1816)",Data Deficient,,3.1,Decreasing,Global
3581313,133051,Goniopora norfolkensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Goniopora,norfolkensis,,,,"Veron &amp; Pichon, 1982",Least Concern,,3.1,Unknown,Global
3581754,133123,Porites cumulatus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Porites,cumulatus,,,,"Nemenzo, 1955",Vulnerable,A4cde,3.1,Unknown,Global
3582144,133052,Echinopora irregularis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,irregularis,,,,"Veron Turak &amp; DeVantier, 2000",Data Deficient,,3.1,Decreasing,Global
3582471,133124,Dendrogyra cylindrus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MEANDRINIDAE,Dendrogyra,cylindrus,,,,"Ehrenberg, 1834",Vulnerable,A4ce,3.1,Stable,Global
3582924,133053,Scolymia cubensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Scolymia,cubensis,,,,"(Milne Edwards &amp; Haime, 1849)",Least Concern,,3.1,Unknown,Global
3583402,133125,Acropora fenneri,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,fenneri,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3584398,133126,Symphyllia hassi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Symphyllia,hassi,,,,"Pillai &amp; Scheer, 1976",Vulnerable,A4c,3.1,Unknown,Global
3586145,133056,Montipora spongiosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,spongiosa,,,,"(Ehrenberg, 1834)",Least Concern,,3.1,Decreasing,Global
3586482,133128,Acropora pruinosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pruinosa,,,,"(Brook, 1893)",Data Deficient,,3.1,Decreasing,Global
3586802,133057,Euphyllia paradivisa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,EUPHYLLIDAE,Euphyllia,paradivisa,,,,"Veron, 1990",Vulnerable,A4cd,3.1,Unknown,Global
3587170,133129,Astreopora ocellata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,ocellata,,,,"Bernard, 1896",Least Concern,,3.1,Decreasing,Global
3588362,133130,Acropora paragemmifera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,paragemmifera,,,,"Claereboudt, 2006",Data Deficient,,3.1,Decreasing,Global
3588650,133059,Platygyra verweyi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,verweyi,,,,"Wijsman-Best, 1976",Near Threatened,,3.1,Decreasing,Global
3589084,133065,Tubipora musica,ANIMALIA,CNIDARIA,ALCYONACEA,ANTHOZOA,TUBIPORIDAE,Tubipora,musica,,,,Linnaeus 1758,Near Threatened,,3.1,Unknown,Global
3589759,133131,Montipora friabilis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,friabilis,,,,"Bernard, 1897",Vulnerable,A4ce,3.1,Decreasing,Global
3591441,133067,Platygyra yaeyamaensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,yaeyamaensis,,,,"Eguchi &amp; Shirai, 1977",Vulnerable,A4c,3.1,Decreasing,Global
3591848,133133,Acropora abrolhosensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,abrolhosensis,,,,"Veron, 1985",Vulnerable,A4cde,3.1,Decreasing,Global
3592271,133068,Platygyra sinensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,sinensis,,,,"(Milne Edwards &amp; Haime, 1849)",Least Concern,,3.1,Decreasing,Global
3592972,133134,Montastraea annularis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Montastraea,annularis,,,,"(Ellis &amp; Solander, 1786)",Endangered,A2ace,3.1,Decreasing,Global
3593444,133069,Astreopora cucullata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,cucullata,,,,"Lamberts, 1980",Vulnerable,A4ce,3.1,Decreasing,Global
3593982,133135,Madracis pharensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ASTROCOENIIDAE,Madracis,pharensis,,,,"(Heller, 1868)",Least Concern,,3.1,Stable,Global
3596557,133072,Montipora echinata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,echinata,,,,"Veron DeVantier &amp; Turak, 2000",Data Deficient,,3.1,Decreasing,Global
3596874,133138,Acropora parapharaonis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,parapharaonis,,,,"Veron, 2002",Data Deficient,,3.1,Decreasing,Global
3597197,133073,Porites bernardi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Porites,bernardi,,,,"Vaughan, 1907",Least Concern,,3.1,Unknown,Global
3598100,133074,Goniastrea deformis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Goniastrea,deformis,,,,"Veron, 1990",Vulnerable,A4c,3.1,Decreasing,Global
3599075,133141,Schizoculina fissipara,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,OCULINIDAE,Schizoculina,fissipara,,,,"(Milne Edwards &amp; Haime, 1850)",Data Deficient,,3.1,Unknown,Global
3599798,133143,Millepora squarrosa,ANIMALIA,CNIDARIA,MILLEPORINA,HYDROZOA,MILLEPORIDAE,Millepora,squarrosa,,,,Lamarck 1816,Least Concern,,3.1,Decreasing,Global
3600166,133144,Millepora alcicornis,ANIMALIA,CNIDARIA,MILLEPORINA,HYDROZOA,MILLEPORIDAE,Millepora,alcicornis,,,,Linneaus 1758,Least Concern,,3.1,Stable,Global
3600644,133145,Stylocoeniella cocosensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ASTROCOENIIDAE,Stylocoeniella,cocosensis,,,,"Veron, 1990",Vulnerable,A4c,3.1,Unknown,Global
3601023,133146,Turbinaria frondens,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,DENDROPHYLLIIDAE,Turbinaria,frondens,,,,"(Dana, 1846)",Least Concern,,3.1,Unknown,Global
3601675,133147,Leptoseris yabei,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,AGARICIIDAE,Leptoseris,yabei,,,,"(Pillai &amp; Scheer, 1976)",Vulnerable,A4ce,3.1,Unknown,Global
3602794,133149,Goniopora ciliatus,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Goniopora,ciliatus,,,,"Veron, 2002",Least Concern,,3.1,Unknown,Global
3603143,133150,Porites aranetai,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Porites,aranetai,,,,"Nemenzo, 1955",Vulnerable,A4cde,3.1,Unknown,Global
3603565,133151,Favia lacuna,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Favia,lacuna,,,,"Veron Turak &amp; DeVantier, 2000",Near Threatened,,3.1,Decreasing,Global
3603924,133152,Lobophyllia pachysepta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Lobophyllia,pachysepta,,,,"Chevalier, 1975",Near Threatened,,3.1,Unknown,Global
3604404,133153,Agaricia fragilis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,AGARICIIDAE,Agaricia,fragilis,,,,"Dana, 1848",Data Deficient,,3.1,Unknown,Global
3604872,133154,Echinophyllia pectinata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PECTINIIDAE,Echinophyllia,pectinata,,,,"Veron, 2002",Data Deficient,,3.1,Unknown,Global
3605234,133155,Diploria strigosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Diploria,strigosa,,,,"(Dana, 1848)",Least Concern,,3.1,Stable,Global
3606283,133157,Scolymia vitiensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Scolymia,vitiensis,,,,"Brüggemann, 1878",Near Threatened,,3.1,Unknown,Global
3607479,133159,Plesiastrea devantieri,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Plesiastrea,devantieri,,,,"Veron, 2002",Near Threatened,,3.1,Decreasing,Global
3607835,133160,Acropora austera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,austera,,,,"(Dana, 1846)",Near Threatened,,3.1,Decreasing,Global
3608479,133161,Platygyra contorta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Platygyra,contorta,,,,"Veron, 1990",Least Concern,,3.1,Decreasing,Global
3609003,133162,Montastrea salebrosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Montastrea,salebrosa,,,,"(Nemenzo, 1959)",Vulnerable,A4c,3.1,Decreasing,Global
3609430,133163,Coscinaraea marshae,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,SIDERASTREIDAE,Coscinaraea,marshae,,,,Wells 1962,Least Concern,,3.1,Unknown,Global
3609729,133164,Acropora russelli,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,russelli,,,,"Wallace, 1994",Vulnerable,A4c,3.1,Decreasing,Global
3610094,133165,Oculina varicosa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,OCULINIDAE,Oculina,varicosa,,,,"(Lesueur, 1821)",Vulnerable,A2ac,3.1,Unknown,Global
3611859,133168,Pavona gigantea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,AGARICIIDAE,Pavona,gigantea,,,,"Verril, 1896",Least Concern,,3.1,Increasing,Global
3612163,133169,Stylophora mamillata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,POCILLOPORIDAE,Stylophora,mamillata,,,,"Scheer &amp; Pillai, 1983",Least Concern,,3.1,Unknown,Global
3612492,133170,Montipora dilatata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,dilatata,,,,"Studer, 1901",Endangered,B2ac(iii),3.1,Decreasing,Global
3614080,133173,Euphyllia ancora,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,EUPHYLLIDAE,Euphyllia,ancora,,,,"Veron &amp; Pichon, 1979",Vulnerable,A4cd,3.1,Unknown,Global
3614541,133174,Astreopora moretonensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,moretonensis,,,,"Veron &amp; Wallace, 1984",Vulnerable,A4ce,3.1,Decreasing,Global
3615628,133176,Coscinaraea exesa,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,SIDERASTREIDAE,Coscinaraea,exesa,,,,"Dana, 1846",Least Concern,,3.1,Stable,Global
3616117,133177,Turbinaria patula,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,DENDROPHYLLIIDAE,Turbinaria,patula,,,,"(Dana, 1846)",Vulnerable,A4c,3.1,Unknown,Global
3616568,133178,Montastrea annuligera,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Montastrea,annuligera,,,,"(Milne Edwards &amp; Haime, 1849)",Near Threatened,,3.1,Decreasing,Global
3617187,133179,Fungia scabra,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FUNGIIDAE,Fungia,scabra,,,,"Döderlein, 1901",Least Concern,,3.1,Unknown,Global
3618097,133180,Galaxea longisepta,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,OCULINIDAE,Galaxea,longisepta,,,,"Fenner &amp; Veron, 2000",Near Threatened,,3.1,Unknown,Global
3618490,133181,Acropora sukarnoi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,sukarnoi,,,,"Wallace, 1997",Data Deficient,,3.1,Decreasing,Global
3618783,133182,Isopora brueggemanni,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Isopora,brueggemanni,,,,"(Brook, 1893)",Vulnerable,A4ce,3.1,Decreasing,Global
3619906,133184,Mussismilia hispida,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,MUSSIDAE,Mussismilia,hispida,,,,"(Verrill, 1902)",Data Deficient,,3.1,Unknown,Global
3620185,133185,Montipora calcarea,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,calcarea,,,,"Bernard, 1897",Vulnerable,A4ce,3.1,Decreasing,Global
3621345,133187,Porites arnaudi,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,PORITIDAE,Porites,arnaudi,,,,"Reyes-Bonilla &amp; Carricart-Ganivet, 2000",Least Concern,,3.1,Unknown,Global
3621724,133188,Echinopora hirsutissima,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,FAVIIDAE,Echinopora,hirsutissima,,,,"Milne Edwards &amp; Haime, 1849",Least Concern,,3.1,Decreasing,Global
3622351,133189,Acropora meridiana,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,meridiana,,,,"Nemenzo, 1971",Data Deficient,,3.1,Decreasing,Global
3622829,133190,Montipora vietnamensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,vietnamensis,,,,"Veron, 2002",Vulnerable,A4c,3.1,Decreasing,Global
3623220,133191,Montipora porites,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,porites,,,,"Veron, 2002",Near Threatened,,3.1,Decreasing,Global
