genus,species,name,corallite,shape,max_depth,comment,,,,,,,,,
Stylophora,aff.portobellensis,Stylophora portobellensis,NA,NA,NA,,,,,,,,,,
Stylophora,affinis,Stylophora affinis,1,branching,NA,,,,,,,,,,
Stylophora,granulata,Stylophora granulata,1,branching,NA,,,,,,,,,,
Stylophora,imperatoris,Stylophora imperatoris,>1,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Stylophora,minor,Stylophora minor,0.7,branching,NA,,,,,,,,,,
Stylophora,monticulosa,Stylophora monticulosa,1,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Stylophora,panamensis,Stylophora affinis,<1.0,branching,NA,,stratigraphic,distributions,of,genera,,,,,
Thysanus,corbicula,Thysanus corbicula,15,freeliving,NA,,,,,,,,,,
Thysanus,crassicostatus,Hadrophyllia saundersi ,NA,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Thysanus,excentricus,Thysanus excentricus,15,massive,NA,,2:,stratigraphic,distributions,of,genera,,,,
Thysanus,navicula,Thysanus navicula,15,freeliving,NA,,,,,,,,,,
Trachyphyllia,bilobata,Trachyphyllia bilobata,60,massive,NA,,stratigraphic,distributions,of,genera,,,,,
Undaria,agaricites,Agaricia agaricites,3.1,branching,75,,,,,,,,,,
Undaria,crassa,Agaricia agaricites,3,platy,75,,,,,,,,,,
Undaria,pusilla,Undaria pusilla,1.9,encrusting,NA,,stratigraphic,distributions,of,genera,,,,,
Undaria,sp.A,Agaricia,4.3,platy,NA,,,,,,,,,,
