"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"DeepLearning_grid__3_AutoML_20200310_084744_model_6",0.605832241153342,0.714281868651197,0.374662334476124,0.440956749672346,0.480470452067541,0.230851855309987
"XGBoost_grid__1_AutoML_20200310_084744_model_4",0.604215814766274,0.59528983685387,0.401417330669584,0.425655307994758,0.450806422446581,0.203226430519085
"GBM_grid__1_AutoML_20200310_084744_model_6",0.603713411970293,0.60189159533787,0.385754024673667,0.414438619484491,0.45316995182717,0.205363005239039
"GBM_5_AutoML_20200310_084744",0.601987767584098,0.595819968007953,0.389181750558436,0.442988204456094,0.450379212988066,0.20284143549175
"DeepLearning_grid__1_AutoML_20200310_084744_model_2",0.601867627785059,0.679116166346025,0.387581020746727,0.438881607688947,0.463472016057449,0.214806309668356
"GBM_1_AutoML_20200310_084744",0.60149628658803,0.604336934095816,0.383032499881584,0.393577981651376,0.45408110282255,0.206189647940543
"DeepLearning_grid__3_AutoML_20200310_084744_model_3",0.600611620795107,0.766618226961012,0.374748538192803,0.393119266055046,0.470371273714104,0.221249135135428
"XGBoost_grid__1_AutoML_20200310_084744_model_6",0.600283966797728,0.596496246263043,0.39874015721603,0.448066841415465,0.451113712084324,0.203503581230498
"XGBoost_3_AutoML_20200310_084744",0.60025120139799,0.596042192576761,0.399818420224223,0.426681957186544,0.451234142467187,0.203612251328098
"DeepLearning_grid__3_AutoML_20200310_084744_model_9",0.600065530799476,0.680423200360715,0.371874344413099,0.389023591087811,0.475146636760402,0.225764326424722
"GBM_grid__1_AutoML_20200310_084744_model_5",0.600065530799476,0.598175858087027,0.38332856885788,0.435353866317169,0.452200875855882,0.204485632124827
"XGBoost_grid__1_AutoML_20200310_084744_model_2",0.598831367409349,0.595401491367198,0.377820239818231,0.410419397116645,0.450807277783415,0.203227201702493
"DeepLearning_grid__1_AutoML_20200310_084744_model_4",0.59871122761031,0.688169788879056,0.387171479160302,0.460288335517693,0.463117534356677,0.214477850628608
"DeepLearning_grid__2_AutoML_20200310_084744_model_5",0.597356924421145,0.621223615796129,0.354514322066618,0.406356487549148,0.462179127512885,0.213609545908572
"XGBoost_2_AutoML_20200310_084744",0.59654871122761,0.594469414646794,0.371229515740213,0.421079073831367,0.450176408198765,0.202658798498741
"XGBoost_1_AutoML_20200310_084744",0.596330275229358,0.595796016547878,0.389846153737629,0.434851463521188,0.450894940439131,0.203306247313608
"GBM_grid__1_AutoML_20200310_084744_model_7",0.593709043250328,0.596139758502483,0.38443804206195,0.428254696373962,0.45081586499559,0.203234944131722
"DeepLearning_grid__2_AutoML_20200310_084744_model_6",0.592114460463084,0.704713257214751,0.364666074498091,0.429761904761905,0.482214125742794,0.232530463065887
"DeepLearning_grid__1_AutoML_20200310_084744_model_5",0.5902249890782,0.688082395594878,0.369165659981452,0.419113149847095,0.467812678523997,0.218848702187796
"XGBoost_grid__1_AutoML_20200310_084744_model_3",0.587581913499345,0.600662697542995,0.381208844496389,0.440443425076453,0.453242238354446,0.205428526628549
"DeepLearning_grid__2_AutoML_20200310_084744_model_1",0.587308868501529,0.634798633684249,0.377739912491679,0.465366972477064,0.459851222923592,0.211463147224323
"DeepLearning_grid__1_AutoML_20200310_084744_model_6",0.586424202708606,0.6270495866541,0.373453188077787,0.406422018348624,0.461142818614982,0.21265269916017
"DeepLearning_grid__1_AutoML_20200310_084744_model_3",0.585528615115771,0.773547955023965,0.340672345274353,0.418567059851464,0.467269356479895,0.218340651505135
"DeepLearning_grid__3_AutoML_20200310_084744_model_2",0.581094364351245,0.640861964287055,0.353565844167596,0.44958497160332,0.465783197215827,0.216953986808598
"GBM_grid__1_AutoML_20200310_084744_model_9",0.580712101354303,0.635323876165743,0.383295687309903,0.44958497160332,0.462784984916774,0.214169942264418
"DeepLearning_grid__2_AutoML_20200310_084744_model_2",0.572072957623416,0.82050329142417,0.378177080998612,0.441491917868065,0.487256769155566,0.23741915908792
